DATE,OPEN,HIGH,LOW,CLOSE,SPEED Signal SL,REV SL,SPEED Trend SL
30-12-2016,445.5,452.2,445.05,449.95,435.9,445.14,456.21
02-01-2017,451.4,452,441.25,447.75,438.82,448.45,452.61
03-01-2017,449.6,457.8,443.5,455.25,440.85,452.49,426.62
04-01-2017,455,460,451.95,453.1,443.1,454.87,430.71
05-01-2017,454.6,463.9,453.25,458.05,447.08,458.08,437.31
06-01-2017,459.7,461.8,454.05,455.2,448.34,459.46,437.31
09-01-2017,456.9,459.35,451.55,452.75,449.89,462.22,440.85
10-01-2017,455.5,456.05,424.4,447.35,460.41,446.41,424.02
11-01-2017,451.85,457.55,448.2,453.6,460.4,446.14,424.02
12-01-2017,454.2,461.4,452.6,455.2,461.82,445.84,424.02
13-01-2017,457,475.2,455.2,472.8,447.45,463.79,424.02
16-01-2017,472.5,480.5,468.3,477.25,451.53,468.76,424.02
17-01-2017,477.3,488.2,476.95,487.2,460.42,474.86,424.02
18-01-2017,487.15,491.7,483.25,488.5,466.89,481.74,424.02
19-01-2017,486.7,487.9,479.3,483.8,473.79,487.31,447.8
20-01-2017,458,461.4,448,450.75,488.34,471.37,447.6
23-01-2017,445.25,448.95,441.1,445,476.31,460.98,492.14
24-01-2017,447.8,452.55,445.3,451.25,470.53,452.14,492.14
25-01-2017,452,465.1,452,463.55,464.37,444.9,492.14
27-01-2017,465.25,478.85,465.25,472.85,450.48,462.34,492.14
30-01-2017,472,476.6,470.85,471.9,455.33,465.67,488.34
31-01-2017,472,472,464.3,466,459.68,470,479.28
01-02-2017,467.75,479.9,460,475.65,459.59,475.92,480.33
02-02-2017,476.25,486,473.35,482.55,459.59,479.82,444.9
03-02-2017,483.7,492.5,480.15,490.7,470.5,483.03,451.59
06-02-2017,494.75,500.2,492,498.3,475.27,488.29,459.59
07-02-2017,498.4,499.7,490.6,493.4,480.57,493.89,459.59
08-02-2017,492.4,492.7,481.85,487.6,484.22,500.15,459.59
09-02-2017,491,494.55,482.95,485.25,485.29,496.6,459.59
10-02-2017,489.75,492.5,486.2,488.9,485.86,495.95,472.92
13-02-2017,492.7,493.85,486.75,490.3,484.52,494.39,479.72
14-02-2017,490.3,491.45,482.1,486.9,483.07,494.29,481.42
15-02-2017,488,493.45,483.8,488.2,483.36,493.89,481.42
16-02-2017,487.7,494.35,486.55,493.15,484.9,494.79,481.42
17-02-2017,501,504,487.4,489.1,484.32,504.45,481.67
20-02-2017,489.4,490.65,479.65,481.05,504.45,482.36,504.45
21-02-2017,481.9,509.05,481.2,504.35,498.86,479.22,509.51
22-02-2017,508.5,528.05,507.8,525.3,480.77,506.82,479.22
23-02-2017,525,530,518.05,528.15,495.71,514.15,479.22
27-02-2017,527.9,527.9,507.3,508.95,499.41,518.66,479.22
28-02-2017,509.4,512.5,504.6,506.65,504.69,528.38,479.22
01-03-2017,511,522,510.15,513.4,508.89,524.33,479.22
02-03-2017,515.1,519.8,503.7,506.3,522.47,506.36,480.77
03-03-2017,507.25,515,506.25,512.9,520.27,503.76,503.25
06-03-2017,514.7,520.8,512.3,518.65,521.27,506.19,503.25
07-03-2017,519,519.9,509.25,511.8,521.27,507,503.25
08-03-2017,504.6,512.8,500.25,510.15,520.37,505.86,499.8
09-03-2017,509.6,519.55,506.5,516.4,520.02,507.6,499.8
10-03-2017,519.2,520,513,515.9,520.47,508.57,499.8
14-03-2017,524.9,525.65,509.55,510.9,526.12,506.84,499.8
15-03-2017,514.7,515.8,509.05,511.7,526.12,507.08,499.8
16-03-2017,513,516.8,511.3,513.65,519.35,508.75,499.8
17-03-2017,515.3,519,511.7,517.15,519.03,509.58,499.8
20-03-2017,518,518.25,501.3,502.85,519.47,506.4,500.85
21-03-2017,498.75,500,486.05,488.3,518.72,501.96,526.12
22-03-2017,485,502.4,484,485.45,509.35,496.02,526.12
23-03-2017,487.55,492,483,488.25,504.54,490.52,519.47
24-03-2017,491,495.7,484.85,489.35,499.51,484.79,519.47
27-03-2017,488.4,493.25,483.55,487.15,496.15,482,519.47
28-03-2017,492.3,505,490.05,502.8,483.11,497.6,518.72
29-03-2017,506,513,500.1,504.2,488.07,500.44,513.46
30-03-2017,498.95,504,495,499.25,490.33,502.71,513.46
31-03-2017,499.7,503.7,488.8,490.8,490.52,504.45,513.46
03-04-2017,495.7,503.7,491.35,500.6,492.66,506.38,513.46
05-04-2017,503.85,510.55,498.85,508.3,490.91,507.26,513.46
06-04-2017,507.7,517.65,505.15,508.7,495.15,508.15,518.12
07-04-2017,507,514.9,502.5,504.2,496.09,509.76,518.12
10-04-2017,504.65,513,503.35,510.75,500.06,512.69,518.12
11-04-2017,509.6,516.6,508.1,515.05,502.9,515.23,518.12
12-04-2017,515.3,520.4,503.25,506,502.8,515.94,520.87
13-04-2017,506.6,511.35,502.9,507.55,502.45,515.1,520.87
17-04-2017,505.55,509.05,501.25,502.35,514.15,502.93,520.87
18-04-2017,505,508.95,498,499.65,512.49,501.01,520.87
19-04-2017,498.25,501.45,488.25,499.5,509.71,497.3,520.87
20-04-2017,496.15,504.4,487,488,506.26,493.8,520.87
21-04-2017,492,497,483.3,486.25,504.85,489.31,520.87
24-04-2017,487.95,503.6,481,498.65,504.05,486.48,511.81
25-04-2017,501,520.15,495.1,516.4,480.57,506.87,480.57
26-04-2017,519.5,525,508.05,517.15,491,511.04,480.57
27-04-2017,524,524,503.25,506.6,494.34,515.06,480.57
28-04-2017,508.3,515.3,504.5,509.65,499.06,519.21,480.57
02-05-2017,509.5,513.1,501.6,505.55,501.15,520.02,480.57
03-05-2017,506.9,507.35,500,500.85,515.91,501.52,480.57
04-05-2017,504.95,521.8,502,518.85,499.55,516.11,494.65
05-05-2017,522,522.4,502.5,504.5,500.89,515.67,499.55
08-05-2017,509,513.7,503.3,511.2,501.04,515.74,499.55
09-05-2017,513,521.25,510.55,518.2,502.85,517.92,499.55
10-05-2017,519,527.55,515.7,526.35,507.52,522.97,499.55
11-05-2017,525.2,534.6,513.45,516.9,507.93,523.66,499.55
12-05-2017,516.7,516.85,499.2,503,535.08,507.66,498.75
15-05-2017,505,508.5,498.4,500.1,521.09,505.87,497.95
16-05-2017,502.1,504.5,493.5,501.5,517.76,502.49,493.06
17-05-2017,501.35,506.75,498.5,502.8,512.99,498.45,493.06
18-05-2017,498,499.1,490.25,492,507.21,494.41,535.08
19-05-2017,495.75,503.85,494.2,501.7,504.9,494.43,535.08
22-05-2017,504,507.45,499.5,502.3,507.91,494.94,517.32
23-05-2017,502.25,506.1,495.2,500.6,507.91,494.94,508.96
24-05-2017,503,505,495,499.3,506.56,494.13,507.91
25-05-2017,502,509.9,495.85,507.45,494.55,507.63,510.36
26-05-2017,508,513,505,511.45,495.4,509.43,489.81
29-05-2017,511.9,515,502.2,507.25,498.86,510.92,493.76
30-05-2017,505,516.95,503.65,514.4,501.1,513.64,494.55
31-05-2017,514,516,509.5,514.05,503.2,516.11,494.55
01-06-2017,512.15,515.95,505.5,509.3,505.05,516.52,494.55
02-06-2017,513.5,513.5,506.35,508.05,505.05,516.04,495.4
05-06-2017,507.35,516.75,507,513.65,505.89,516.81,501.75
06-06-2017,514,514.4,505.55,510.2,505.1,515.78,501.75
07-06-2017,510,515.45,508.1,514.2,505.1,515.82,503.2
08-06-2017,514,521.8,511.35,515.75,507.44,517.07,505.05
09-06-2017,515,516.35,509.4,513.65,508.41,518,505.05
12-06-2017,512.45,513.1,506,507.5,516.81,507.7,505.1
13-06-2017,509,512.3,505.5,506.45,515.98,507.33,505.05
14-06-2017,509,510.9,501.55,509.5,515.18,506.13,501.1
15-06-2017,508.85,509.3,504,507.6,512.92,504.9,501.1
16-06-2017,507.65,514.3,507.5,510.45,514.76,504.36,501.1
19-06-2017,511,525.35,509.3,520.15,505.67,515.45,501.1
20-06-2017,520.2,521.7,510.5,511.85,506.43,517.09,501.1
21-06-2017,511.05,512.5,506.75,507.75,506.78,522.17,501.1
22-06-2017,508.9,514.45,506.65,508,506.84,517.29,501.1
23-06-2017,509.6,510.45,503.65,504.65,516.25,505.81,503.2
27-06-2017,506,506.7,484.45,492.85,511.78,500.11,525.82
28-06-2017,493.8,500.35,490.05,492,507.65,496.16,525.82
29-06-2017,498,514.4,497.7,512.1,489.61,509.08,522.17
30-06-2017,510.6,520,508.1,517.35,496.48,510.98,520.47
03-07-2017,517.1,521.8,515,517.25,498.91,513.41,522.27
04-07-2017,516.8,517.55,506.55,508.4,503.21,515.46,522.27
05-07-2017,507.75,515.4,507.75,513.9,506.09,519.21,522.27
06-07-2017,511,512.85,508.15,509.5,507.29,517.96,522.27
07-07-2017,508.25,508.95,501.25,503.15,515.05,506.56,522.27
10-07-2017,521,529.75,506.7,509.95,530.23,503.95,530.23
11-07-2017,512,512.4,505.8,506.8,530.23,503.98,530.23
12-07-2017,508.9,509.9,504.2,506.75,513.39,502.92,530.23
13-07-2017,508,516.85,508,511.9,517.32,502.96,530.23
14-07-2017,514,514.5,507.7,512.95,517.32,504.75,530.23
17-07-2017,513.1,514,508.5,510.5,514.96,506.11,530.23
18-07-2017,509,522.7,508.35,516.55,507.07,516.23,530.23
19-07-2017,518,521.95,516.05,520.2,507.89,518.84,523.17
